Serial Number,Artist,Song Name,Year,Spotify URL
SN-001,Woodkid,Run Boy Run,2013,https://open.spotify.com/track/2YhapA5E1qTZ1Ykw9Y86ql
SN-002,Woodkid,The Golden Age,2013,https://open.spotify.com/track/5HGEAHYQbzIomAvF8K18Ot
SN-003,Twenty One Pilots,Stressed Out,2015,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
SN-004,The Asteroids Galaxy Tour,Lady Jesus,2014,https://open.spotify.com/track/69ZjbKuAdDns0SRP3GcdXF
SN-005,The Asteroids Galaxy Tour,Around the Bend,2008,https://open.spotify.com/track/4tdGyzQ3WqygwxOEpbQ8eo
SN-006,Kleerup,With Every Heartbeat,2009,https://open.spotify.com/track/3Y2hdirGeE0JalLAsw7Fqi
SN-007,Vangelis,Conquest of Paradise,1999,https://open.spotify.com/track/72spzrvGTuoMfXVP3wxZDQ
SN-008,Groove Armada,Think Twice,2003,https://open.spotify.com/track/3yu4ztuQEtQ8ouTj8Op7C3
SN-009,Ralph Myerz and the Herren Band,Think Twice,2003,https://open.spotify.com/track/0unOYYicVQTwVYllW2xrOZ
SN-010,Groove Armada,My Friend,2001,https://open.spotify.com/track/5LRxSyiIRHQD26h1mdM0Ir
SN-011,Groove Armada,I See You Baby - Fatboy Slim Radio Edit,2007,https://open.spotify.com/track/6rWbKPp28LKYf8zTWidbuU
SN-012,Groove Armada,Edge Hill,2001,https://open.spotify.com/track/5mf8jY9FsGCAuWwJMmKIzF
SN-013,Wanda Jackson,Funnel Of Love,2011,https://open.spotify.com/track/2LrJSH0Zn382ECgPffzBdk
SN-014,Lipps Inc.,Funkytown - Single Version,2004,https://open.spotify.com/track/571HXOyjpcQzZz9Edv2Jdx
SN-015,Bodyrockers,I Like The Way - Radio Edit,2008,https://open.spotify.com/track/5NkiypiOPZNNsMOYXwU2f3
SN-016,Inner Circle,Sweat (A La La La La Long),1992,https://open.spotify.com/track/7kTvXtMERxvwCGcWv68ssH
SN-017,Inner Circle,Bad Boys (Theme From Cops) - Original Version,1992,https://open.spotify.com/track/6HHrXbBPk5ybtKuYG9SZDH
SN-018,Johnny Cash,Ring of Fire,2002,https://open.spotify.com/track/5rDkA2TFOImbiVenmnE9r4
SN-019,Weezer,Island In The Sun,2001,https://open.spotify.com/track/3Pnhzf3Knhdsavx0VM2ZmG
SN-020,Malcolm McLaren,About Her,2004,https://open.spotify.com/track/0WN1ICX0u0NenOccX8gRp3
SN-021,Shivaree,Goodnight Moon,2004,https://open.spotify.com/track/5jQPDVjgSGnNYl8G3H3qul
SN-022,Duke Dumont,Ocean Drive,2015,https://open.spotify.com/track/0k93MXOj0kSXo84SvSDeUz
