Serial Number,Artist,Song Name,Year,Spotify URL
SN-001,Nightwish,Ever Dream,2002,https://open.spotify.com/track/3AsXXooMWAi5A86GHzDMPA
SN-002,Nightwish,Planet Hell,2004,https://open.spotify.com/track/20lYTJhxSodfHGVNRUt3nI
SN-003,Nico Vega,Living Underground,2009,https://open.spotify.com/track/3IWcfyIfyTOStitdrkMUNB
SN-004,Nico Vega,Beast - Extended Version,2013,https://open.spotify.com/track/7jPxJjQ7NmoFPLa6qvy4Dw
SN-005,Bloodhound Gang,Mope,1999,https://open.spotify.com/track/7k7QhEsFKZt0z4u1I1W5Ra
SN-006,In This Moment,Whore,2012,https://open.spotify.com/track/2tAzcTFry1OhmNERFjUR93
SN-007,Whitechapel,Possession,2008,https://open.spotify.com/track/0cPaBdPEXviKoAjcWJqI9M
SN-008,Five Finger Death Punch,Bad Company,2009,https://open.spotify.com/track/7MoA7Nfk8C52FX8f9pAzPp
SN-009,Five Finger Death Punch,This Is My War,2015,https://open.spotify.com/track/1lT1TZ1l6bqCwd5TvlVq1j
SN-010,Set Your Goals,the few that remain,2009,https://open.spotify.com/track/73VWNMYtM7sn2JIC4FsT2V
SN-011,In This Moment,Blood,2012,https://open.spotify.com/track/7qzNc93sUMR3vHt5WADmOa
SN-012,Trapt,Headstrong,2002,https://open.spotify.com/track/1AEYT6VxrxXPMoQUxsY0E4
SN-013,Shinedown,Cut the Cord,2015,https://open.spotify.com/track/4LFBVDJV0xpayUvquQVzhS
SN-014,Slipknot,Psychosocial,2008,https://open.spotify.com/track/5Pm9uuEL0q6aXSRT3161UP
SN-015,In This Moment,Sick Like Me,2014,https://open.spotify.com/track/76AYOdnKWcSLviCsKDXyS1
SN-016,While She Sleeps,New World Torture,2015,https://open.spotify.com/track/6MZcyIJ11uG2pZKhltHULo
SN-017,Avatarium,Moonhorse,2013,https://open.spotify.com/track/4bhvVgFN039WB4uPVc8FZV
SN-018,Amaranthe,Dynamite,2014,https://open.spotify.com/track/1HuvjJCi1u7Eg09crdWu1v
SN-019,Kamelot,Revolution,2015,https://open.spotify.com/track/5lXbLwEwbU3neWjfoIQyHr
SN-020,While She Sleeps,Four Walls,2015,https://open.spotify.com/track/04np64OjIt01Z7KSYWwhcC
SN-021,Stone Sour,Absolute Zero,2012,https://open.spotify.com/track/14EORgkbXqIx5K4Haucmnb
SN-022,Alestorm,Drink,2014,https://open.spotify.com/track/5Hzto0vLxLb8GfkUtu6ZJK
SN-023,Whitechapel,The Saw Is the Law,2014,https://open.spotify.com/track/6rLEeo9rNT87t2xHry8xUl
SN-024,Slipknot,Custer,2014,https://open.spotify.com/track/3GiJq4AQK7324mfIQbpiTf
SN-025,Bobaflex,Bury Me With My Guns,2011,https://open.spotify.com/track/5tjEFjXJZOiFYfUsH1L6D3
SN-026,Cypress Hill,(Rock) Superstar (feat. Chino Moreno & Everlast),2000,https://open.spotify.com/track/5hYr8yRbQLFE20oS7Mi3T2
SN-027,Nico Vega,Beast,2013,https://open.spotify.com/track/0GrcPg89CPjXEkPAsAooGP
SN-028,Rob Zombie,Two-Lane Blacktop,2003,https://open.spotify.com/track/4VIM6bcYnJZsrmIOAbWoxF
SN-029,Static-X,The Only,2003,https://open.spotify.com/track/35ZmCVnfYRdK1iLGCxNhMa
SN-030,Fuel,Quarter,2005,https://open.spotify.com/track/1niIoI0IVTswfNxdyzxc4U
SN-031,Mudvayne,Determined,2005,https://open.spotify.com/track/0GBiT1wHV68bU0Cv8ZU2HZ
SN-032,Rise Against,Give It All,2012,https://open.spotify.com/track/11P8PMjut7t75FPzHTgd0L
SN-033,Skindred,Nobody,2004,https://open.spotify.com/track/581mukhDjta60CCwpvnjL9
SN-034,Spiderbait,Black Betty - Single Edit,2004,https://open.spotify.com/track/7uSsHbBFFAnkRQR1rDwP3L
SN-035,RDGLDGRN,Double Dutch,2013,https://open.spotify.com/track/0YCAbdXtRU8yftyOP0NrGZ
SN-036,Disturbed,Decadence,2005,https://open.spotify.com/track/0jY829pCMnstlNtaE72vSB
