Serial Number,Artist,Song Name,Year,Spotify URL
SN-001,Shakra,Why,2014,https://open.spotify.com/track/5jHrNHeXA7ew7pEYmK8AK8
SN-002,Gotthard,Say Goodbye,2015,https://open.spotify.com/track/1hTsaftAi8nQO6r3cBpgA3
SN-003,Gotthard,"He Ain't Heavy, He's My Brother",2015,https://open.spotify.com/track/4EvDZ2AYUS10f3VHyjzKXs
SN-004,Krokus,Help,2013,https://open.spotify.com/track/3OpObTBJk84DJ8Mmz8KEdQ
SN-005,Krokus,So Long,2006,https://open.spotify.com/track/3ygByBQwWjqqR0i5QsN3Ra
SN-006,Bloodbound,Brothers Of War,2011,https://open.spotify.com/track/11Fe740cSiuO0wO4117ZqN
SN-007,Dan Reed,Holy_Diver_mix,2011,https://open.spotify.com/track/37Xkgbx9mqmRn8zMOGZUyJ
SN-008,Shakra,Love Will Find a Way,2007,https://open.spotify.com/track/5GBKUK8HSYyWCUjg2vm8zV
SN-009,Saturnus,All Alone,2006,https://open.spotify.com/track/52ADjbnO2yizl9ke12CKov
SN-010,Saturnus,I Long,2006,https://open.spotify.com/track/31TbbzGqa8VpRhmPzWRnhl
SN-011,Art Nation,Look to the Sky,2015,https://open.spotify.com/track/7AYPRPlAGM9OzNTCVq7yev
SN-012,Avantasia,The Haunting,2016,https://open.spotify.com/track/2gsAMZrIviWlgcbMXlJLJq
SN-013,Cruachan,Ride On,2008,https://open.spotify.com/track/1J6yyQEcX6s2LN3uxff1dJ
SN-014,Magdallan,House Of Dreams,1992,https://open.spotify.com/track/6bta6hCQAWu28U5ZftjRpN
SN-015,Carsten Lizard Schulz Syndicate,Man in Flames,2015,https://open.spotify.com/track/0bA1Od6YTppEhPqMJL8u8e
SN-016,Scorpions,Gypsy Life,2015,https://open.spotify.com/track/5LKiWwxNCLR5BQ0sER1TKM
SN-017,Ismerős Arcok,Nélküled,2007,https://open.spotify.com/track/4jlEAEwhBBUwWb6ayb84Xx
SN-018,Ismerős Arcok,Nagypénteken Holló Mossa Két Fiát,2007,https://open.spotify.com/track/4May6fSLZQbQXN5eMVExCj
SN-019,Inglorious,Holy Water,2016,https://open.spotify.com/track/0I6xRFPmxA5gqCNhimlRKt
SN-020,Inglorious,Bleed for You,2016,https://open.spotify.com/track/78xcqcN92M2GrWpvmqtJ0x
SN-021,Steve Miller Band,Journey From Eden,1991,https://open.spotify.com/track/3jkzb30smLGLzFR4PHaUeg
SN-022,Almah,Warm Wind,2013,https://open.spotify.com/track/0wXpVoz55wYAu9HXgBh4e9
SN-023,Moonsorrow,Mimisbrunn,2016,https://open.spotify.com/track/5wzP6LbOTpgQgKkBtCBbEm
SN-024,Avatarium,Pearls And Coffins,2015,https://open.spotify.com/track/7iGqZsTffy9oP5Cpr7nvnD
SN-025,Tiamat,A Deeper Kind of Slumber,1997,https://open.spotify.com/track/6McTEPOKS0KGCiCd6QSOWz
SN-026,Coverdale/Page,Take Me for a Little While,1993,https://open.spotify.com/track/63IYBrppd22mLuFvOQUAkR
SN-027,Tiamat,Radiant Star,2012,https://open.spotify.com/track/322BgU0FVbJey2EGPW6RVa
SN-028,Tiamat,The Sun Also Rises,2012,https://open.spotify.com/track/27tWmz88Rm3sN24sH08O4s
