Serial Number,Artist,Song Name,Year,Spotify URL
SN-001,Chumbawamba,Tubthumping,1997,https://open.spotify.com/track/22HYEJveCvykVDHDiEEmjZ
SN-002,Lovedrug,Salt of the Earth,2007,https://open.spotify.com/track/365XTZK21DDew01PgO8T0a
SN-003,The White Stripes,Seven Nation Army,2003,https://open.spotify.com/track/3m6KkYKdnbffMpGd9Pm9FP
SN-004,Starship,Don't Stop Believing,2009,https://open.spotify.com/track/4iIVsaOFYcutuOUslA79P2
SN-005,Black Sabbath,Iron Man,1970,https://open.spotify.com/track/4HzdhXWJqczW6gOIXT6QRH
SN-006,AC/DC,Shoot to Thrill,2010,https://open.spotify.com/track/6GzCkTddOn1vSln1gbSr8y
SN-007,AC/DC,Thunderstruck,2010,https://open.spotify.com/track/52UWtKlYjZO3dHoRlWuz9S
SN-008,AC/DC,Back In Black,2010,https://open.spotify.com/track/2iEGj7kAwH7HAa5epwYwLB
SN-009,AC/DC,Highway to Hell,2010,https://open.spotify.com/track/1OIYK9Ya6EgwJ4fMngrPcK
SN-010,Imagine Dragons,Radioactive,2012,https://open.spotify.com/track/6Ep6BzIOB9tz3P4sWqiiAB
