Serial Number,Artist,Song Name,Year,Spotify URL
Card-001,Chumbawamba,Tubthumping,1997,https://open.spotify.com/track/22HYEJveCvykVDHDiEEmjZ
Card-002,Lovedrug,Salt of the Earth,2007,https://open.spotify.com/track/365XTZK21DDew01PgO8T0a
Card-003,The White Stripes,Seven Nation Army,2003,https://open.spotify.com/track/3m6KkYKdnbffMpGd9Pm9FP
Card-004,Starship,Don't Stop Believing,2009,https://open.spotify.com/track/4iIVsaOFYcutuOUslA79P2
Card-005,Black Sabbath,Iron Man,1970,https://open.spotify.com/track/4HzdhXWJqczW6gOIXT6QRH
Card-006,AC/DC,Shoot to Thrill,2010,https://open.spotify.com/track/6GzCkTddOn1vSln1gbSr8y
Card-007,AC/DC,Thunderstruck,2010,https://open.spotify.com/track/52UWtKlYjZO3dHoRlWuz9S
Card-008,AC/DC,Back In Black,2010,https://open.spotify.com/track/2iEGj7kAwH7HAa5epwYwLB
Card-009,AC/DC,Highway to Hell,2010,https://open.spotify.com/track/1OIYK9Ya6EgwJ4fMngrPcK
Card-010,Imagine Dragons,Radioactive,2012,https://open.spotify.com/track/6Ep6BzIOB9tz3P4sWqiiAB
Card-011,Guns N' Roses,Paradise City,1987,https://open.spotify.com/track/3YBZIN3rekqsKxbJc9FZko
Card-012,Guns N' Roses,Welcome To The Jungle,1987,https://open.spotify.com/track/0bVtevEgtDIeRjCJbK3Lmv
Card-013,Guns N' Roses,You Could Be Mine,1991,https://open.spotify.com/track/1BDKqhEFRW5d9Y5CVXNUL1
Card-014,Brick + Mortar,Locked In A Cage,2013,https://open.spotify.com/track/1Z4bpgy49F5P9mQrp29OVK
Card-015,Simple Minds,All The Things She Said,1985,https://open.spotify.com/track/3moXCyaWymML7Ii4nKOvv9
Card-016,Queen,Under Pressure - Remastered 2011,1982,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
Card-017,Queen,We Will Rock You - Remastered 2011,1977,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
Card-018,Queen,I Want To Break Free - Single Remix,1984,https://open.spotify.com/track/3Au6174rC3JSzZN5BhCl3D
Card-019,Queen,We Are The Champions - Remastered 2011,1977,https://open.spotify.com/track/1lCRw5FEZ1gPDNPzy1K4zW
Card-020,Queen,Under Pressure,2002,https://open.spotify.com/track/5oidljiMjeJTWUGZ4TfFea
Card-021,Filter,Take a Picture,1999,https://open.spotify.com/track/2c5wml8wsBnPfNSbCZ574T
Card-022,Lynyrd Skynyrd,Sweet Home Alabama,1974,https://open.spotify.com/track/4CJVkjo5WpmUAKp3R44LNb
Card-023,Donovan,Atlantis,1969,https://open.spotify.com/track/0kcEK7YuNNfE7jiTnXS1cm
Card-024,The Who,Baba O'Riley,1971,https://open.spotify.com/track/2KmEgiY8fQs0G6WNxtzQKr
Card-025,Green Day,21 Guns,2009,https://open.spotify.com/track/64yrDBpcdwEdNY9loyEGbX
Card-026,Green Day,Holiday / Boulevard of Broken Dreams,2004,https://open.spotify.com/track/0MsrWnxQZxPAcov7c74sSo
Card-027,Green Day,Boulevard of Broken Dreams,2004,https://open.spotify.com/track/1hwJKpe0BPUsq6UUrwBWTw
Card-028,Black Strobe,I’m A Man,2007,https://open.spotify.com/track/1fWQpfqqp16vhc2PVjYUnG
Card-029,The Subways,Rock & Roll Queen,2005,https://open.spotify.com/track/1O5qBgWDXf19N75X7Bvilv
Card-030,Movie Sounds Unlimited,The Little Things - From Wanted,2008,https://open.spotify.com/track/6zxbKq8h4GcV1mRMHgchKt
Card-031,Bon Jovi,Livin' On A Prayer,1986,https://open.spotify.com/track/3v7Hpshu7Lppgw8kSsy5ly
Card-032,Bon Jovi,It's My Life,2000,https://open.spotify.com/track/1zOaxkbS1kAY1gIi0g8sOm
Card-033,Bon Jovi,You Give Love A Bad Name,1986,https://open.spotify.com/track/5VVwwfK6Cp9IydkhKfJUEq
Card-034,Bon Jovi,Always,2010,https://open.spotify.com/track/7o10Pto0YFchZl1zL4dLPH
Card-035,Bon Jovi,Wanted Dead Or Alive,1986,https://open.spotify.com/track/0whc72kLlbhR5QMmj9XPnb
Card-036,Bon Jovi,Runaway,2010,https://open.spotify.com/track/2NhrdplfGpqU2F4vIKR4Hv
Card-037,Bon Jovi,Everyday,2002,https://open.spotify.com/track/0EBNF6XrSb69UzTkwoJCwR
Card-038,Bon Jovi,Say It Isn't So,2000,https://open.spotify.com/track/4Z0pQEQKDRjtSUBSBrZTHP
Card-039,Bon Jovi,Two Story Town,2000,https://open.spotify.com/track/3J88WMr3QbdynGE2ZQH6oo
Card-040,Blue Öyster Cult,(Don't Fear) The Reaper,2017,https://open.spotify.com/track/4NgWC8tG7zDxfwrDsAzcHg
Card-041,Scorpions,Wind Of Change,1990,https://open.spotify.com/track/6wjSNO6uJYlgbbfauyWhiw
Card-042,Scorpions,Rock You Like a Hurricane - 2011,2011,https://open.spotify.com/track/46QazXxQS0B31CnbRCy8CV
Card-043,Scorpions,New Generation,2004,https://open.spotify.com/track/5RDFTCOQebIccCT694QfBa
Card-044,Scorpions,Dust in the Wind - Live,2001,https://open.spotify.com/track/2goTjpiBRV0qd2gZrAtpIZ
Card-045,Scorpions,To Be No.1,1999,https://open.spotify.com/track/0NvxaZA5IXJsSu1sdSSSce
Card-046,Scorpions,Mind Like A Tree,1999,https://open.spotify.com/track/7nUW2Epgu5pyeYVRCgyZsE
Card-047,Scorpions,Eye To Eye,1999,https://open.spotify.com/track/3PiJ8384lp49EaFUooThaP
Card-048,Scorpions,No Pain No Gain - Live,1995,https://open.spotify.com/track/4nUpGjcqMu7NLuAdRv3ls3
Card-049,Scorpions,Alien Nation - Live,1995,https://open.spotify.com/track/3cuBSiNb8eX0coVqs1rgaf
Card-050,Scorpions,Crazy World - Live,1995,https://open.spotify.com/track/0BAYSk9xrdM0TJiD9185Xb
Card-051,Liquido,Doubledecker,1999,https://open.spotify.com/track/5WwUsdGMKxdJ1eUAZ9CvdE
Card-052,Liquido,Swing It,1999,https://open.spotify.com/track/2i7tDbpwjEfjmoOt3URQGK
Card-053,Liquido,Ordinary Life,2005,https://open.spotify.com/track/3wkUA6OFKgAzXlRS3dmdPT
Card-054,The Offspring,Hit That,2003,https://open.spotify.com/track/1C2CPvmL5R6nODesaZF4df
Card-055,The Offspring,(Can't Get My) Head Around You,2003,https://open.spotify.com/track/7LOvKnhYYLqPvP5A2rAKOh
Card-056,The Offspring,Have You Ever,1998,https://open.spotify.com/track/1Sbg8XVzkUskvfbke5nDNM
Card-057,The Offspring,Pretty Fly (For a White Guy),1998,https://open.spotify.com/track/15HadeuRG9THazDGzLH8ZU
Card-058,The Offspring,The Kids Aren't Alright,1998,https://open.spotify.com/track/4sQJXbtxwoKHG7PwMRJ0Ig
Card-059,The Offspring,She's Got Issues,1998,https://open.spotify.com/track/2iJ9v0iFSOiU2fpfumudlN
Card-060,Scorpions,Still Loving You,2011,https://open.spotify.com/track/0RdUX4WE0fO30VnlUbDVL6
Card-061,Scorpions,Rock You Like A Hurricane,1984,https://open.spotify.com/track/2TFi29E9X6MPc05Vyfzout
Card-062,TOTO,Africa,1982,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
Card-063,TOTO,I'll Be Over You,1986,https://open.spotify.com/track/1WeoeHh0TSzsApyJ6Q8OOK
Card-064,Boston,More Than a Feeling,1976,https://open.spotify.com/track/1QEEqeFIZktqIpPI4jSVSF
Card-065,Los Lobos,La Bamba,1993,https://open.spotify.com/track/6uU5OBhGUE1ngSKDj4wtoq
Card-066,Bloodhound Gang,The Bad Touch,1999,https://open.spotify.com/track/2ypT0w7jeCwcEQQvNE5o92
Card-067,Black Sabbath,Paranoid,1970,https://open.spotify.com/track/5ERnPWGQc5QK7M7HW3rjC6
Card-068,Bloodhound Gang,The Ballad Of Chasey Lain,1999,https://open.spotify.com/track/02HSEUuCs9wGA5IfFKkvmq
Card-069,Bloodhound Gang,I Hope You Die,2010,https://open.spotify.com/track/0n2BFctG4LXBlMd0yZuin5
Card-070,Heart,Black On Black II,1993,https://open.spotify.com/track/7358fT3s7gGFQPiMyXDiQh
Card-071,Fleetwood Mac,Miranda,2003,https://open.spotify.com/track/1zgYm6oTVVyUMVK7XtCIre
Card-072,Fleetwood Mac,Say You Will,2003,https://open.spotify.com/track/3YrjFJwsOPWShEkIvxbqwW
Card-073,Blackmore's Night,Under a Violet Moon,1999,https://open.spotify.com/track/2WpmMlS6Tr01C7UNFjQI3U
Card-074,Blackmore's Night,Shadow of the Moon,1997,https://open.spotify.com/track/0YZOgA5bZShrLXsRRVhbDz
Card-075,Journey,Don't Stop Believin',1981,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
Card-076,Journey,Any Way You Want It,1980,https://open.spotify.com/track/71SvEDmsOwIWw1IozsZoMA
Card-077,Journey,Separate Ways (Worlds Apart),1983,https://open.spotify.com/track/4ECNtOnqzxutZkXP4TE3n3
Card-078,Journey,Lights,1978,https://open.spotify.com/track/7EHmKkyAr6MZv5Y2FdZbXw
Card-079,Journey,Open Arms,1981,https://open.spotify.com/track/2w4EpqGasrz9qdTwocx54t
Card-080,Journey,Wheel in the Sky,1978,https://open.spotify.com/track/215wUTQQUo2PElJFEFoB0d
Card-081,Journey,Message Of Love,1996,https://open.spotify.com/track/6riZhfpti08WJHMioUeZ6N
Card-082,Journey,One More,1996,https://open.spotify.com/track/5qQOrElYArBX1CQvqvSmN8
Card-083,Journey,When You Love A Woman,1996,https://open.spotify.com/track/2Ie2PTlhSYqE7WG5l6QzrB
Card-084,Journey,If He Should Break Your Heart,1996,https://open.spotify.com/track/1spUU1Cd4TDfukGpqhBIo7
