Serial Number,Artist,Song Name,Year,Spotify URL
Card-001,Woodkid,Run Boy Run,2013,https://open.spotify.com/track/2YhapA5E1qTZ1Ykw9Y86ql
Card-002,Woodkid,The Golden Age,2013,https://open.spotify.com/track/5HGEAHYQbzIomAvF8K18Ot
Card-003,Twenty One Pilots,Stressed Out,2015,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
Card-004,The Asteroids Galaxy Tour,Lady Jesus,2014,https://open.spotify.com/track/69ZjbKuAdDns0SRP3GcdXF
Card-005,The Asteroids Galaxy Tour,Around the Bend,2008,https://open.spotify.com/track/4tdGyzQ3WqygwxOEpbQ8eo
Card-006,Kleerup,With Every Heartbeat,2009,https://open.spotify.com/track/3Y2hdirGeE0JalLAsw7Fqi
Card-007,Vangelis,Conquest of Paradise,1999,https://open.spotify.com/track/72spzrvGTuoMfXVP3wxZDQ
Card-008,Groove Armada,Think Twice,2003,https://open.spotify.com/track/3yu4ztuQEtQ8ouTj8Op7C3
Card-009,Ralph Myerz and the Herren Band,Think Twice,2003,https://open.spotify.com/track/0unOYYicVQTwVYllW2xrOZ
Card-010,Groove Armada,My Friend,2001,https://open.spotify.com/track/5LRxSyiIRHQD26h1mdM0Ir
Card-011,Groove Armada,I See You Baby - Fatboy Slim Radio Edit,2007,https://open.spotify.com/track/6rWbKPp28LKYf8zTWidbuU
Card-012,Groove Armada,Edge Hill,2001,https://open.spotify.com/track/5mf8jY9FsGCAuWwJMmKIzF
Card-013,Wanda Jackson,Funnel Of Love,2011,https://open.spotify.com/track/2LrJSH0Zn382ECgPffzBdk
Card-014,Lipps Inc.,Funkytown - Single Version,2004,https://open.spotify.com/track/571HXOyjpcQzZz9Edv2Jdx
Card-015,Bodyrockers,I Like The Way - Radio Edit,2008,https://open.spotify.com/track/5NkiypiOPZNNsMOYXwU2f3
Card-016,Inner Circle,Sweat (A La La La La Long),1992,https://open.spotify.com/track/7kTvXtMERxvwCGcWv68ssH
Card-017,Inner Circle,Bad Boys (Theme From Cops) - Original Version,1992,https://open.spotify.com/track/6HHrXbBPk5ybtKuYG9SZDH
Card-018,Johnny Cash,Ring of Fire,2002,https://open.spotify.com/track/5rDkA2TFOImbiVenmnE9r4
Card-019,Weezer,Island In The Sun,2001,https://open.spotify.com/track/3Pnhzf3Knhdsavx0VM2ZmG
Card-020,Malcolm McLaren,About Her,2004,https://open.spotify.com/track/0WN1ICX0u0NenOccX8gRp3
Card-021,Shivaree,Goodnight Moon,2004,https://open.spotify.com/track/5jQPDVjgSGnNYl8G3H3qul
Card-022,Duke Dumont,Ocean Drive,2015,https://open.spotify.com/track/0k93MXOj0kSXo84SvSDeUz
Card-023,Bloodhound Gang,Uhn Tiss Uhn Tiss Uhn Tiss,2005,https://open.spotify.com/track/09jBezYNF57NBMAp1uSKGn
Card-024,Dave Stewart,The Well,2011,https://open.spotify.com/track/68Di9sDd6j3OKiXHluhCtk
Card-025,Waldeck,Memories,2007,https://open.spotify.com/track/0gDWgUpmcRyIb9yBxeaGQj
Card-026,Elle King,Ex's & Oh's,2015,https://open.spotify.com/track/70eDxAyAraNTiD6lx2ZEnH
Card-027,Richie Kohan,True Colors (feat. Faux Fix),2015,https://open.spotify.com/track/33eS7VTW3cZ5ABbqtiwvFI
Card-028,Michael Jackson,Billie Jean,2008,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
Card-029,Michael Jackson,Beat It,2008,https://open.spotify.com/track/1OOtq8tRnDM8kG2gqUPjAj
Card-030,Marsen Jules,Oeillet En Delta,2006,https://open.spotify.com/track/6Qknuz1Nh7tQ5l7ZkjuVA0
Card-031,Ears Of Light,Life - Spa Version,2016,https://open.spotify.com/track/6xO0vuFUIVkjzuKWFbdKFV
Card-032,ST*RMAN,Starman - Sleep Version,2016,https://open.spotify.com/track/0MVI3GzrfY4sOGigI2IYGk
Card-033,Tao Lounge,Inner Island,2015,https://open.spotify.com/track/3hQkMqSEXT6bVAqT13dERY
Card-034,Ears Of Light,Wish I Could Fly - Ambient Mix,2016,https://open.spotify.com/track/2g1PIqQoblo8xIzRYrJ9pg
Card-035,Ears Of Light,Life - Dream Version,2016,https://open.spotify.com/track/26v56OpEbK9IpXwjXmv7FA
Card-036,Ears Of Light,Yes/No - Ambient Mix,2016,https://open.spotify.com/track/3N1LY9ii8FdvFAyS2PoFZy
Card-037,Ears Of Light,Life - Chill Version,2016,https://open.spotify.com/track/6PLcxhyBy8niQkWB8tVPXq
Card-038,Meditation Spa,Yoga Nidra,2009,https://open.spotify.com/track/4vHAAUoPpwyyzxCJoRKOQE
Card-039,Jean-Michel Jarre,Waiting for Cousteau - Remastered,2015,https://open.spotify.com/track/2BirEbHitEwxH7yu2YmXN6
Card-040,Twenty One Pilots,Heathens,2016,https://open.spotify.com/track/3vZM2544ETmOCCHuBPZRzm
Card-041,Caro Emerald,Back It Up - Radio Edit,2010,https://open.spotify.com/track/11KUiNarCgqJBHwRfmsK9A
Card-042,Caro Emerald,That Man,2010,https://open.spotify.com/track/5HFns0jW3EIRqa8jSQqESn
Card-043,Alexandre Chatelard,Lenny Kravitz,2016,https://open.spotify.com/track/3hftynns7p9jIsy9zxivI5
Card-044,Ákos,Keresem az Utam (Andante),2003,https://open.spotify.com/track/3zp7RaWrgMHu9883s4GG8u
